"category_name","Name","Link","Pieces","Set","year"
"Town","{SUV}","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1742-1",77," Town: Classic Town: Recreation","1994"
"Town","Renault Formula 1 Racer","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1750-1",24," Town: Classic Town: Race","1992"
"Town","Go-Cart","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1760-1",12," Town: Classic Town: Race","1995"
"Town","Paradisa Speedboat","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1761-1",16," Town: Paradisa","1995"
"Town","Go-Cart polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1762-1",12," Town: Classic Town: Race","1995"
"Town","Airport Container Truck","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1772-1",72," Town: Classic Town: Airport","1992"
"Town","Airline Maintenance Vehicle with Trailer","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1773-1",97," Town: Classic Town: Airport","1992"
"Town","Aircraft","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1774-1",125," Town: Classic Town: Airport","1992"
"Town","Jet","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1775-1",144," Town: Classic Town: Airport","1994"
"Town","Discovery Station","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1782-1",297," Town: Divers","1997"
"Town","Jailbreak Joe","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1786-1",168," Town: Classic Town: Police","1995"
"Town","Shark Fisherman","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1790-1",15," Town: Classic Town: Recreation","1994"
"Town","Windsurfer & Van","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1791-1",65," Town: Classic Town: Recreation","1994"
"Town","Pleasure Cruiser","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1792-1",61," Town: Classic Town: Recreation","1994"
"Town","Light Aircraft and Ground Support","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1808-1",110," Town: Classic Town: Airport","1996"
"Town","Paradisa Lifeguard","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1815-1",28," Town: Paradisa","1996"
"Town","Sea Plane with Hut and Boat","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1817-1",121," Town: Classic Town: Recreation","1996"
"Town","Aircraft and Ground Support Equipment and Vehicle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1818-1",180," Town: Classic Town: Airport","1996"
"Town","Rally Racers","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1821-1",182," Town: Classic Town: Race","1996"
"Town","Maersk Line Container Lorry","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1831-1",203," Town: Classic Town: Cargo","1995"
"Town","Maersk Sealand Container Lorry","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1831-2",201," Town: Classic Town: Cargo","1995"
"Town","House with Roof-Windows ( Velux )","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1854-1",141," Town: Classic Town: Building","1996"
"Town","Soil Scooper","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1876-1",63," Town: Classic Town: Traffic","1990"
"Town","Octan Racer","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1890-1",40," Town: Classic Town: Race","1992"
"Town","Sky Patrol","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1895-1",69," Town: Classic Town: Police","1992"
"Town","Trauma Team","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1896-1",270," Town: Classic Town: Hospital","1992"
"Town","Weetabix Dragster polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1898-1",18," Town: Classic Town: Race","1989"
"Town","Weetabix Racer polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1899-1",15," Town: Classic Town: Race","1989"
"Town","Dairy Tanker","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1952-1",115," Town: Classic Town: Food & Drink","1989"
"Town","Windsurfer","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1958-1",16," Town: Classic Town: Recreation","1993"
"Town","Ultra-Light","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1959-1",21," Town: Classic Town: Airport","1993"
"Town","Car Repair Shop","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1966-1",265," Town: Classic Town: Traffic","1985"
"Town","Emirates Airliner","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1973-1",123," Town: Classic Town: Airport","1989"
"Town","Flyercracker USA","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1974-2",67," Town: Classic Town: Airport","1989"
"Town","F1 Race Car","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1990-1",26," Town: Classic Town: Race","1993"
"Town","Racing Pickup","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1991-1",76," Town: Classic Town: Race","1993"
