"name","year","category_name","link","pieces","set","price_link","times_sold","total_qty","min_price","avg_price","qty_avg_price","max_price"
"Launch & Load Seaport",1991,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=6542-1",1036," Town: Classic Town: Harbor","http://www.bricklink.com/catalogPG.asp?S=6542-1&ColorID=0","5","5",696.828973843058,895.189134808853,895.189134808853,1175.72837022133
"Rocket Assembly & Transport",2019,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=60229-1",1011," Town: City: Space Exploration","http://www.bricklink.com/catalogPG.asp?S=60229-1&ColorID=0","19","21",71.7344064386318,106.41046277666,107.241448692153,133.249496981891
"Garage",1979,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=7642-1",937," Town: City: Traffic","http://www.bricklink.com/catalogPG.asp?S=7642-1&ColorID=0","3","3",200.281690140845,223.146881287726,223.146881287726,234.832997987928
"Police Headquarters",1979,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=7744-1",924," Town: City: Police","http://www.bricklink.com/catalogPG.asp?S=7744-1&ColorID=0","2","2",223.040241448692,253.265593561368,253.265593561368,283.492957746479
"City Garage",2012,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4207-1",913," Town: City: Traffic","http://www.bricklink.com/catalogPG.asp?S=4207-1&ColorID=0","6","6",150.201207243461,172.607645875252,172.607645875252,188.617706237425
"Downtown Fire Brigade",2019,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=60216-1",910," Town: City: Fire","http://www.bricklink.com/catalogPG.asp?S=60216-1&ColorID=0","12","12",13.7665995975855,103.804828973843,103.804828973843,172.760563380282
"Fire Station",1978,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=60110-1",887," Town: City: Fire","http://www.bricklink.com/catalogPG.asp?S=60110-1&ColorID=0","8","8",106.394366197183,133.959758551308,133.959758551308,169.255533199195
"Deep Sea Operation Base",2015,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=60096-1",882," Town: City: Deep Sea Explorers","http://www.bricklink.com/catalogPG.asp?S=60096-1&ColorID=0","4","4",100.12676056338,112.69416498994,112.69416498994,123.963782696177
"Nintendo Entertainment System",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71374-1",2645," Super Mario","http://www.bricklink.com/catalogPG.asp?S=71374-1&ColorID=0","83","91",97.5648148148148,214.925925925926,214.842592592593,263.888888888889
"Bowser's Castle Boss Battle - Expansion Set",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71369-1",810," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71369-1&ColorID=0","5","5",77.7777777777778,93.0648148148148,93.0648148148148,119.435185185185
"Toad's Treasure Hunt - Expansion Set",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71368-1",390," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71368-1&ColorID=0","9","14",28.6944444444444,32.3333333333333,35.2685185185185,40.5555555555556
"Guarded Fortress - Expansion Set",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71362-1",374," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71362-1&ColorID=0","11","11",23.5,36.3888888888889,36.3888888888889,46.2962962962963
"King Boo and the Haunted Yard - Expansion Set",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71377-1",288," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71377-1&ColorID=0","6","6",41.6296296296296,44.7037037037037,44.7037037037037,54.1203703703704
"Thwomp Drop - Expansion Set",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71376-1",257," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71376-1&ColorID=0","1","1",33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"Adventures with Mario - Starter Course",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71360-1",179," Super Mario: Super Mario Starter Course","http://www.bricklink.com/catalogPG.asp?S=71360-1&ColorID=0","24","43",25,32.1388888888889,35.4074074074074,45.75
"Mario's House & Yoshi - Expansion Set",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71367-1",163," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71367-1&ColorID=0","11","24",10.1851851851852,15.4166666666667,14.9722222222222,19.3425925925926
"Desert Pokey - Expansion Set",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71363-1",116," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71363-1&ColorID=0","11","21",9.71296296296296,14.6759259259259,14.9722222222222,17.8240740740741
"Toad's Special Hideaway - Expansion Set - San Diego Comic-Con 2020 Exclusive",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=77907-1",107," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=77907-1&ColorID=0","4","4",15.6851851851852,44.7592592592593,44.7592592592593,105.75
"Monty Mole & Super Mushroom - Expansion Set",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=40414-1",99," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=40414-1&ColorID=0","8","8",32.2777777777778,38.9074074074074,38.9074074074074,48.5
"Piranha Plant Power Slide - Expansion Set",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71365-1",89," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71365-1&ColorID=0","5","7",15.6203703703704,21.3333333333333,21.8518518518519,23.1481481481481
"Whomp's Lava Trouble - Expansion Set",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71364-1",87," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71364-1&ColorID=0","12","15",9.25,13.8240740740741,13.0925925925926,24.3240740740741
"Boomer Bill Barrage - Expansion Set",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71366-1",77," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71366-1&ColorID=0","12","30",14.5555555555556,18.1296296296296,17.962962962963,23.1018518518519
"Bullet Bill, Super Mario, Series 1 (Complete Set)",2020,"Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=char01-5",15," Super Mario: Super Mario Series 1","http://www.bricklink.com/catalogPG.asp?S=char01-5&ColorID=0","7","7",9.63888888888889,13.6759259259259,13.6759259259259,20.3703703703704
"Avengers Tower",2019,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=76269-1",5052," Super Heroes: Avengers","http://www.bricklink.com/catalogPG.asp?S=76269-1&ColorID=0","27","31",251.04,374.61,376.25,465.78
"The Joker Manor",2017,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=70922-1",3385," Super Heroes: The LEGO Batman Movie","http://www.bricklink.com/catalogPG.asp?S=70922-1&ColorID=0","18","18",260.94,522.7,522.7,639.97
"1989 Batmobile",2019,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=76139-1",3294," Super Heroes: Tim Burton's Batman","http://www.bricklink.com/catalogPG.asp?S=76139-1&ColorID=0","67","70",72.5,350.44,350.62,460.5
"The SHIELD Helicarrier",2015,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=76042-1",2964," Super Heroes: Avengers","http://www.bricklink.com/catalogPG.asp?S=76042-1&ColorID=0","17","17",169.38,401.39,401.39,671.4
"Batman Classic TV Series - Batcave",2016,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=76052-1",2488," Super Heroes: Batman Classic TV Series","http://www.bricklink.com/catalogPG.asp?S=76052-1&ColorID=0","30","34",160.91,216.63,216.8,266.7
"1989 Batwing",2020,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=76161-1",2351," Super Heroes: Tim Burton's Batman","http://www.bricklink.com/catalogPG.asp?S=76161-1&ColorID=0","30","31",57.33,187.45,186.91,240.5
"The Tumbler",2014,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=76023-1",1860," Super Heroes: The Dark Knight Trilogy","http://www.bricklink.com/catalogPG.asp?S=76023-1&ColorID=0","22","25",105.41,195.05,200.68,268.37
"Arkham Asylum Breakout",2012,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10937-1",1585," Super Heroes: Batman II","http://www.bricklink.com/catalogPG.asp?S=10937-1&ColorID=0","23","24",150.39,207.14,206.84,307.9
"Arkham Asylum",2017,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=70912-1",1572," Super Heroes: The LEGO Batman Movie","http://www.bricklink.com/catalogPG.asp?S=70912-1&ColorID=0","15","15",6.78,187.88,187.88,259.99
"The Ultimate Batmobile",2017,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=70917-1",1405," Super Heroes: The LEGO Batman Movie","http://www.bricklink.com/catalogPG.asp?S=70917-1&ColorID=0","18","18",68.26,197.27,197.27,253.87
"The Hulkbuster: Ultron Edition",2018,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=76105-1",1358," Super Heroes: Avengers Age of Ultron","http://www.bricklink.com/catalogPG.asp?S=76105-1&ColorID=0","15","15",110.6,147.19,147.19,200
"Avengers Helicarrier",2020,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=76153-1",1083," Super Heroes: Avengers","http://www.bricklink.com/catalogPG.asp?S=76153-1&ColorID=0","13","15",105.59,136.69,138.41,165.68
"Spider-Man: Web Warriors Ultimate Bridge Battle",2016,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=76057-1",1062," Super Heroes: Spider-Man","http://www.bricklink.com/catalogPG.asp?S=76057-1&ColorID=0","27","28",94.5,238.1,236.7,315.28
"The Batwing",2017,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=70916-1",1037," Super Heroes: The LEGO Batman Movie","http://www.bricklink.com/catalogPG.asp?S=70916-1&ColorID=0","19","22",46.89,93.3,91.6,120.55
"Batcave Clayface Invasion",2019,"Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=76122-1",1011," Super Heroes: Batman II","http://www.bricklink.com/catalogPG.asp?S=76122-1&ColorID=0","11","11",95.82,132.2,132.2,173.82
